-- Testing: 325 tests, 32 workers --
PASS: compiler :: test_qfbv_proof_receipt.py (1 of 325)
PASS: compiler :: test_agolic_bse_runner.py (2 of 325)
PASS: compiler :: test_query_store.py (3 of 325)
PASS: compiler :: backsolver_loop_multibreak.ll (4 of 325)
PASS: compiler :: test_research_protocol.py (5 of 325)
PASS: compiler :: live_nested_loop_memoryphi_decision_dag_value.ll (6 of 325)
PASS: compiler :: live_nested_loop_memoryphi_last_write_value.ll (7 of 325)
PASS: compiler :: live_nested_loop_memoryphi_piecewise_affine_value.ll (8 of 325)
PASS: compiler :: live_nested_loop_memoryphi_affine_symbolic_value.ll (9 of 325)
PASS: compiler :: backsolver_continuation_symbolic_heap_region.ll (10 of 325)
PASS: compiler :: live_memoryssa_aa_heap_initialization.ll (11 of 325)
PASS: compiler :: hydra_multiblock.ll (12 of 325)
PASS: compiler :: test_semantic_proposals.py (13 of 325)
PASS: compiler :: live_nested_loop_memoryphi_two_dimensional_affine.ll (14 of 325)
PASS: compiler :: live_guarded_heap_union_initialization.ll (15 of 325)
PASS: compiler :: test_qf_bv_conformance.py (16 of 325)
PASS: compiler :: live_nested_loop_memoryphi_piecewise_affine_value_big_endian.ll (17 of 325)
PASS: compiler :: backsolver_continuation_symbolic_heap_region_cycle.ll (18 of 325)
PASS: compiler :: hydra_internal_tree.ll (19 of 325)
PASS: compiler :: backsolver_continuation_guarded_byte_lane.ll (20 of 325)
PASS: compiler :: backsolver_continuation_nested_memory.ll (21 of 325)
PASS: compiler :: backsolver_continuation_pointer_union.ll (22 of 325)
PASS: compiler :: backsolver_continuation_cyclic_byte_lane.ll (23 of 325)
PASS: compiler :: backsolver_continuation_guarded_priority.ll (24 of 325)
PASS: compiler :: backsolver_continuation_pointer_union_priority.ll (25 of 325)
PASS: compiler :: backsolver_continuation_multi_latch_cyclic_byte_lane.ll (26 of 325)
PASS: compiler :: backsolver_continuation_conditional_cyclic_byte_lane.ll (27 of 325)
PASS: compiler :: backsolver_continuation_conditional_multi_latch_cyclic_byte_lane.ll (28 of 325)
PASS: compiler :: backsolver_continuation_memory.ll (29 of 325)
PASS: compiler :: hydra_shared_predicate_dag.ll (30 of 325)
PASS: compiler :: live_nested_loop_memoryphi_affine_symbolic_value_big_endian.ll (31 of 325)
PASS: compiler :: backsolver_continuation_byte_lane.ll (32 of 325)
PASS: compiler :: hydra_cross_region_hash_cons.ll (33 of 325)
PASS: compiler :: backsolver_continuation_initial_memory.ll (34 of 325)
PASS: compiler :: hydra_internal_dag.ll (35 of 325)
PASS: compiler :: backsolver_loop_three_break_triangular.ll (36 of 325)
PASS: compiler :: live_multilatch_loop_memoryphi_fixed_point.ll (37 of 325)
PASS: compiler :: test_qf_bv_backend.py (38 of 325)
PASS: compiler :: live_nested_loop_memoryphi_summary.ll (39 of 325)
PASS: compiler :: test_qf_bv_campaign.py (40 of 325)
PASS: compiler :: test_qfbv_realtime_stream.py (41 of 325)
